Cliente,Fecha
cliente_84657,2025-05-01
cliente_25685,2025-05-01
cliente_66881,2025-05-01
cliente_58024,2025-05-01
cliente_73895,2025-05-01
cliente_48790,2025-05-01
cliente_84878,2025-05-01
cliente_963,2025-05-01
cliente_66273,2025-05-01
cliente_35777,2025-05-01
cliente_56580,2025-05-01
cliente_55796,2025-05-01
cliente_84823,2025-05-01
cliente_77525,2025-05-01
cliente_30869,2025-05-01
cliente_73394,2025-05-01
cliente_4543,2025-05-01
cliente_9419,2025-05-01
cliente_71445,2025-05-01
cliente_68224,2025-05-01
cliente_11049,2025-05-01
cliente_57439,2025-05-01
cliente_60039,2025-05-01
cliente_2439,2025-05-01
cliente_58901,2025-05-01
cliente_38947,2025-05-01
cliente_17590,2025-05-01
cliente_5928,2025-05-01
cliente_54686,2025-05-01
cliente_33367,2025-05-01
cliente_38180,2025-05-01
cliente_62915,2025-05-01
cliente_44205,2025-05-01
cliente_25819,2025-05-01
cliente_34017,2025-05-01
cliente_38025,2025-05-01
cliente_23703,2025-05-01
cliente_42501,2025-05-01
cliente_36212,2025-05-01
cliente_62756,2025-05-01
cliente_45659,2025-05-01
cliente_57518,2025-05-01
cliente_3986,2025-05-01
cliente_23217,2025-05-01
cliente_46626,2025-05-01
cliente_45623,2025-05-01
cliente_18468,2025-05-01
cliente_75855,2025-05-01
cliente_19205,2025-05-01
cliente_33554,2025-05-01
cliente_42318,2025-05-01
cliente_80875,2025-05-01
cliente_38510,2025-05-01
cliente_54320,2025-05-01
cliente_59281,2025-05-01
cliente_50714,2025-05-01
cliente_10162,2025-05-01
cliente_42906,2025-05-01
cliente_24505,2025-05-01
cliente_54045,2025-05-01
cliente_60644,2025-05-01
cliente_6923,2025-05-01
cliente_65928,2025-05-01
cliente_36203,2025-05-01
cliente_64717,2025-05-01
cliente_7526,2025-05-01
cliente_77148,2025-05-01
cliente_24087,2025-05-01
cliente_52560,2025-05-01
cliente_28219,2025-05-01
